date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:09	77/77	---MCZ	200	added ('OK')	text/plain	etag:W/%2261fa2653-58%22	https://instafollowers.pro/robots.txt		(from )
14:52:09	8479/8479	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jan%202022%2011:36:29%20GMT	https://instafollowers.pro/	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/index.html	(from )
14:52:09	1306/1306	---M--	200	added ('OK')	image/png	etag:%2261f3db87-51a%22	https://instafollowers.pro/assets/img/insta-followers.png	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/assets/img/insta-followers.png	(from https://instafollowers.pro/)
14:52:10	155631/155631	---MCZ	200	added ('OK')	text/css	etag:W/%2261f0fb8a-25fef%22	https://instafollowers.pro/assets/vendor/bootstrap/css/bootstrap.min.css	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://instafollowers.pro/)
14:52:10	65696/65696	---MCZ	200	added ('OK')	text/css	etag:W/%2261f0fb79-100a0%22	https://instafollowers.pro/assets/vendor/bootstrap-icons/bootstrap-icons.css	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://instafollowers.pro/)
14:52:10	63235/63235	---MCZ	200	added ('OK')	text/css	etag:W/%2261f0fb99-f703%22	https://instafollowers.pro/assets/vendor/boxicons/css/boxicons.min.css	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/assets/vendor/boxicons/css/boxicons.min.css	(from https://instafollowers.pro/)
14:52:10	13871/13871	---MCZ	200	added ('OK')	text/css	etag:W/%2261f0fb7e-362f%22	https://instafollowers.pro/assets/vendor/swiper/swiper-bundle.min.css	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/assets/vendor/swiper/swiper-bundle.min.css	(from https://instafollowers.pro/)
14:52:11	32485/32485	---MCZ	200	added ('OK')	text/javascript	etag:W/%226601e-7ee5-5d65768e38b72%22	https://code.iconify.design/2/2.1.2/iconify.min.js	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/code.iconify.design/2/2.1.2/iconify.min.js	(from https://instafollowers.pro/)
14:52:11	9469/9469	---MCZ	200	added ('OK')	text/css	etag:W/%2261f10231-24fd%22	https://instafollowers.pro/assets/css/style.css	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/assets/css/style.css	(from https://instafollowers.pro/)
14:52:11	25270/25270	---M--	200	added ('OK')	image/png	etag:%2261f10952-62b6%22	https://instafollowers.pro/assets/img/Insta%20Followers%20-%20Free%20Instagram%20Followers.png	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/assets/img/Insta%20Followers%20-%20Free%20Instagram%20Followers.png	(from https://instafollowers.pro/)
14:52:12	12708/12708	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20Jan%202022%2019:48:25%20GMT	https://instafollowers.pro/terms-of-use.html	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/terms-of-use.html	(from https://instafollowers.pro/)
14:52:13	335659/335659	---M--	200	added ('OK')	image/png	etag:%2261f25d28-51f2b%22	https://instafollowers.pro/assets/img/instagram-logo.png	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/assets/img/instagram-logo.png	(from https://instafollowers.pro/)
14:52:13	23550/23550	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Feb%202022%2014:52:13%20GMT	https://instafollowers.pro/free-followers/	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/free-followers/index.html	(from https://instafollowers.pro/)
14:52:13	8396/8396	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20Jan%202022%2019:48:24%20GMT	https://instafollowers.pro/privacy-policy.html	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/privacy-policy.html	(from https://instafollowers.pro/)
14:52:13	6277/6277	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261f0fb78-1885%22	https://instafollowers.pro/assets/js/main.js	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/assets/js/main.js	(from https://instafollowers.pro/)
14:52:14	90528/90528	---M--	200	added ('OK')	font/woff2	etag:%2261f0fb96-161a0%22	https://instafollowers.pro/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?856008caa5eb66df68595e734e59580d	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/assets/vendor/bootstrap-icons/fonts/bootstrap-icons63f3.woff2	(from https://instafollowers.pro/assets/vendor/bootstrap-icons/bootstrap-icons.css)
14:52:14	120468/120468	---M--	200	added ('OK')	font/woff	etag:%2261f0fb96-1d694%22	https://instafollowers.pro/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff?856008caa5eb66df68595e734e59580d	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/assets/vendor/bootstrap-icons/fonts/bootstrap-icons63f3.woff	(from https://instafollowers.pro/assets/vendor/bootstrap-icons/bootstrap-icons.css)
14:52:15	273536/273536	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2261f0fb9c-42c80%22	https://instafollowers.pro/assets/vendor/boxicons/fonts/boxicons.eot	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/assets/vendor/boxicons/fonts/boxicons.eot	(from https://instafollowers.pro/assets/vendor/boxicons/css/boxicons.min.css)
14:52:15	93260/93260	---M--	200	added ('OK')	font/woff2	etag:%2261f0fb9e-16c4c%22	https://instafollowers.pro/assets/vendor/boxicons/fonts/boxicons.woff2	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/assets/vendor/boxicons/fonts/boxicons.woff2	(from https://instafollowers.pro/assets/vendor/boxicons/css/boxicons.min.css)
14:52:16	273444/273444	---M--	200	added ('OK')	font/woff	etag:%2261f0fb9e-42c24%22	https://instafollowers.pro/assets/vendor/boxicons/fonts/boxicons.woff	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/assets/vendor/boxicons/fonts/boxicons.woff	(from https://instafollowers.pro/assets/vendor/boxicons/css/boxicons.min.css)
